Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
olive green belt bag,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup_fr/sku_colorGroup,EnglishMinimalStemFilter,30,$183.00,
pace lined 5,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,25,$0.00,
lulu cropped,N,product_topsLength_s/sku_colorCodeDesc,,35,$118.00,
ebb s,N,collections/sku_size,,34,$244.80,
poolside bike shorts,N,parentCategory_displayName/sku_colorCodeDesc/product_customAttribute4/product_activity,,9,$0.00,
powder blue align tank,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,27,$115.00,
sculpt c,N,collections/sku_size,,31,$190.30,
25 in,N,collections/product_inseam/sku_size,PatternReplaceFilter,30,$460.60,
ready to rulu pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,19,$0.00,
wallet bag,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,30,$190.00,
work joggers,N,parentCategory_displayName/product_activity,,30,$0.00,
bright orange,N,sku_colorGroup/sku_colorCodeDesc,,29,$0.00,
men lined,N,sku_colorCodeDesc/gender,,25,$279.60,
peony leggings,N,sku_colorCodeDesc/parentCategory_displayName,,24,$187.00,
size 12 shorts,N,parentCategory_displayName/product_inseam/sku_size/product_customAttribute4,PatternReplaceFilter,21,$128.00,
camo skirts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,23,$64.00,
java dress,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,22,$210.80,
speed up bone,N,sku_colorCodeDesc/collections/product_customAttribute4,,28,$68.00,
steady state short 5,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,137,"$4,888.95",steady state short 5
lululemon swiftly tech short sleeve crew,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,19,$360.00,
cropped too,N,product_topsLength_s/parentCategory_displayName,,21,$0.00,
sunny coral pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,17,$237.00,
swiftly tech crop top,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,39,$553.80,
swiftly tech kelly green,N,sku_colorGroup/sku_colorCodeDesc/collections,,21,$54.00,
swiftly tech long sleeve grey,N,sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_colorGroup,,33,$156.00,
swiftly tie dye,N,sku_colorCodeDesc/collections,,23,$0.00,
tank train to be,N,product_customAttribute4/collections/product_activity/parentCategory_displayName,PorterStemFilter,17,$83.00,
tie dye short sleeve shirts,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$0.00,
pocket 25,N,sku_colorCodeDesc/sku_size/product_inseam/product_customAttribute4,PatternReplaceFilter,18,$345.00,
java too,N,sku_colorCodeDesc/parentCategory_displayName,,17,$0.00,
white long sleeve swiftly tech,N,sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_colorGroup,,34,$390.00,
wild indigo define,N,sku_colorCodeDesc/collections,,23,$0.00,
women coats and jackets,N,product_customAttribute4/parentCategory_displayName/gender,,10,$0.00,
lululemon capris,N,sku_colorCodeDesc/collections/parentCategory_displayName,,13,$0.00,
"8"" bike short",Y,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,15,$64.00,
abc classic 5 pocket,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,74,"$4,256.55",
align 23 in,N,collections/product_inseam,PatternReplaceFilter,28,$380.15,
align 25 navy,Y,product_inseam/sku_colorCodeDesc/collections/sku_colorGroup/sku_size,PatternReplaceFilter,27,$618.00,
align high top,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$299.95,
align short java,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,22,$212.30,
black 28 leggings,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,25,$196.00,
black full zip,N,sku_colorGroup/sku_colorCodeDesc/sku_size/product_customAttribute4,,53,"$1,270.00",
black leggings 31,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,19,$294.00,
black lululemon belt bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,48,$228.00,
black running shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,24,$244.00,
bright blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,79,$158.00,bright blue leggings
bright green shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,19,$0.00,
bright yellow tank top,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$29.00,
bucket hat men,N,gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,27,$144.00,
carbon dust pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,17,$267.00,
we made too much speed up shorts,N,collections/product_customAttribute4/parentCategory_displayName,,14,$176.00,
classic commission pants,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,12,$99.00,
cropped rain jacket,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$0.00,
cyan blue hotty hot shorts,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,,12,$0.00,
cyan hotty hot,N,sku_colorCodeDesc/collections,,15,$0.00,
dance studio c,N,collections/sku_size/product_activity,,24,$0.00,
define jacket in black,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,23,$590.00,
define jacket white opal,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,25,$151.30,
electric lemon scuba,N,sku_colorCodeDesc/collections,,18,$198.00,
electric yellow shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,18,$93.00,
fast and free belt bag,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,42,$298.30,
full zip oversized,N,collections/sku_size/product_customAttribute4,,24,$148.00,
full zip oversized scuba,N,collections/sku_size/product_customAttribute4,,35,$601.60,
fundamental long sleeve shirt,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,109,"$3,449.70",
grey swiftly tech shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,28,$68.00,
grey tech shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,22,$0.00,
heather grey hotty hot,Y,sku_colorGroup/sku_colorCodeDesc/collections,PorterStemFilter,19,$49.00,
hotty hot 5,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,37,$204.00,"hotty hot 5"""
hotty hot mango,N,sku_colorCodeDesc/collections,,28,$190.65,
hotty hot shorts camo,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,28,$0.00,
icing blue sports bra,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,9,$0.00,
instill cross strap tank top,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,26,$270.00,
kelly green align leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,30,$364.65,
kelly green like a cloud,N,sku_colorGroup/sku_colorCodeDesc/collections/sku_size,,18,$54.00,
kelly green multi,N,sku_colorGroup/sku_colorCodeDesc,,14,$332.95,
kelly green tennis,N,sku_colorGroup/sku_colorCodeDesc/product_activity,,17,$68.00,
leggings black 25,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,16,$147.00,
lined pace breaker,N,sku_colorCodeDesc/collections,,33,$447.05,
long shorts women,N,product_topsLength_s/gender/product_customAttribute4/parentCategory_displayName,,20,$0.00,
lulu lemon skirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$201.00,
lululemon fundamental tank,N,sku_colorCodeDesc/collections/parentCategory_displayName,,35,$787.20,
lululemon made to much,N,sku_colorCodeDesc/collections/parentCategory_displayName,,6,$0.00,
marble grey dye leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,14,$0.00,
meadowsweet belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$0.00,
tight zip,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,43,$236.00,
mint green leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,24,$98.00,
peach tank top,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,16,$68.00,
peony pink leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,21,$107.65,
pink belt b,N,sku_colorGroup/sku_colorCodeDesc/sku_size/product_customAttribute4,,29,$298.30,
powder blue long sleeve,N,sku_colorGroup/product_topsLength_s/sku_colorCodeDesc/parentCategory_displayName,,16,$136.00,
swiftly run,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,32,$268.30,
altered state,N,sku_colorCodeDesc/collections,,31,$719.60,
cross leggings,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,31,$0.00,
radiate foil print red merlot,N,sku_colorGroup/sku_colorCodeDesc,PorterStemFilter,25,$285.00,
red wunder puff,N,sku_colorGroup/sku_colorCodeDesc/collections,,25,$566.00,
run hotty shorts,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter,9,$136.00,
down and,N,product_customAttribute4/parentCategory_displayName,,26,$79.00,
pink lulu,N,sku_colorGroup/sku_colorCodeDesc,,26,$0.00,
scuba twilight rose,N,sku_colorCodeDesc/sku_colorGroup_fr/collections,,8,$0.00,
athletic tank,N,product_customAttribute4/parentCategory_displayName,,25,$0.00,
shirt sleeve polo,N,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,7,$169.00,
lined 7,N,sku_colorCodeDesc/product_inseam/sku_size,PatternReplaceFilter,24,$176.00,
shorts size 18,N,sku_size/product_inseam/product_customAttribute4/parentCategory_displayName,PatternReplaceFilter,16,$402.00,
run up,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,24,$68.00,
gold black,N,sku_colorGroup/sku_colorCodeDesc,,22,$317.10,
pocket tight,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,22,$808.00,
sweatshirt full zip,N,sku_size/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$502.00,
swiftly tech shirt blue,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,24,$108.00,
swiftly too short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,18,$0.00,
fly pants,N,collections/product_customAttribute4/parentCategory_displayName,,19,$0.00,
tennis too,N,parentCategory_displayName/product_activity,,19,$0.00,
tidal teal shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$0.00,
backpacks men,N,product_customAttribute4/gender,,18,$0.00,
trail running shorts,N,parentCategory_displayName/product_customAttribute4/product_activity,,26,$512.00,
ebb to street short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,70,$742.00,
blue too,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,15,$0.00,
women pocket leggings,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName/gender,,19,$434.00,
wunder train 4 in,N,product_inseam/product_customAttribute4/product_activity/collections/sku_size,PorterStemFilter/PatternReplaceFilter,20,$64.00,
wunder train magenta,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,21,$127.40,
yellow sport bra,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13,$107.00,
yoga shirt men,Y,parentCategory_displayName/gender/product_customAttribute4/product_activity,EnglishMinimalStemFilter,18,$377.00,
align black 25,Y,product_inseam/sku_colorCodeDesc/collections/sku_colorGroup/sku_size,PatternReplaceFilter,39,"$1,514.10",
align bra a,N,sku_size/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,22,$81.20,
align made too much,N,collections/parentCategory_displayName,,21,$152.25,
align pocket 23,N,sku_colorCodeDesc/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,26,$236.00,
align tank faded zap,N,sku_colorCodeDesc/collections/parentCategory_displayName,,25,$304.65,
align tank hot pink,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,24,$0.00,
at ease short 5,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,24,$0.00,
black align shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,23,$125.80,
black camouflage shorts,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup_fr/sku_colorGroup,,9,$0.00,
classic belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,28,$76.00,
ebb to street bone,N,sku_colorCodeDesc/collections,,25,$101.80,
free to wild bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,25,$144.00,
full zip s,N,sku_size/product_customAttribute4,,28,$493.70,
grey sage belt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,27,$458.00,
hot heat shirt,Y,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,39,$503.00,
ice blue shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,21,$68.00,
kelly green dance studio,N,sku_colorGroup/sku_colorCodeDesc/collections/product_activity,,12,$0.00,
light blue align leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,17,$49.00,
light pink leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,67,$373.00,
light pink tops,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,15,$0.00,
lilac smoke shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter/EnglishMinimalStemFilter,25,$174.00,
