Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
belt bag powder blue,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue),EnglishMinimalStemFilter(bag),50,$161.50
define jacket poolside,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_colorCodeDesc(poolside),EnglishMinimalStemFilter(jacket),67,$217.00
full zip jacket,N,sku_size(full)/product_customAttribute4(jacket_zip)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),75,$354.00
shirt grey,Y,product_customAttribute4(shirt)/parentCategory_displayName(shirt)/sku_colorGroup(grey)/sku_colorCodeDesc(grey),EnglishMinimalStemFilter(shirt),96,$204.00
hot pink shirt,N,sku_colorCodeDesc(hot_pink)/collections(hot)/sku_colorGroup(pink)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),74,$184.00
size 6,N,sku_size(6_size)/product_inseam(6),PatternReplaceFilter(6),77,$997.00
bright pink,N,sku_colorCodeDesc(bright_pink)/sku_colorGroup(pink),,75,$87.00
light purple leggings,N,sku_colorCodeDesc(light_purple)/sku_colorGroup(purple)/parentCategory_displayName(leggings),,73,$304.00
cropped tights,N,product_topsLength_s(cropped)/parentCategory_displayName(tights),,43,$903.00
run times short,Y,collections(run_times)/product_activity(run)/product_customAttribute4(run_short)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),PorterStemFilter(run)/EnglishMinimalStemFilter(short),56,$305.15
scuba short sleeve,N,collections(scuba)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),77,"$1,439.60"
swiftly tech shirt 20,N,collections(swiftly_tech)/product_customAttribute4(shirt)/parentCategory_displayName(shirt)/sku_size(20),EnglishMinimalStemFilter(shirt),74,$836.00
velvet dust shirt,N,sku_colorCodeDesc(dust_velvet)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),48,$321.00
we made to much pants,N,parentCategory_displayName(made_much_pants_we)/collections(to)/product_customAttribute4(pants),,37,$138.00
women running shirt,Y,gender(women)/parentCategory_displayName(shirt_women)/product_activity(running)/product_customAttribute4(running_shirt),EnglishMinimalStemFilter(shirt),46,$498.00
define jacket we made to much,N,collections(define_to)/product_customAttribute4(jacket)/parentCategory_displayName(jacket_made_much_we),EnglishMinimalStemFilter(jacket),17,$29.50
all night f,N,collections(all)/sku_colorCodeDesc(night)/sku_size(f),,98,"$1,605.10"
rulu pullover,N,collections(rulu)/sku_colorCodeDesc(rulu)/product_customAttribute4(pullover),,117,"$2,109.80"
lululemon hotty,N,collections(hotty_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,100,$591.60
swift short,Y,collections(swift)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),77,$329.80
knit dress,N,sku_colorCodeDesc(knit)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),75,"$1,623.20"
hike bra,Y,product_activity(hike)/parentCategory_displayName(bra)/product_customAttribute4(bra),PorterStemFilter(hike)/EnglishMinimalStemFilter(bra),67,$220.65
short joggers,N,product_topsLength_s(short)/parentCategory_displayName(joggers_short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),67,"$1,170.00"
racerback swiftly,N,collections(racerback_swiftly)/product_customAttribute4(racerback),,61,$275.50
light pink tank top,N,sku_colorCodeDesc(light_pink)/sku_colorGroup(pink)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),70,$301.00
red rock,N,sku_colorGroup(red)/sku_colorCodeDesc(red_rock),,59,$39.00
joggers cropped,N,parentCategory_displayName(joggers)/product_topsLength_s(cropped),,48,"$1,012.00"
leggings poolside,N,parentCategory_displayName(leggings)/sku_colorCodeDesc(poolside),,47,$99.00
purple ash leggings,N,sku_colorGroup(purple)/sku_colorCodeDesc(ash_purple)/parentCategory_displayName(leggings),,146,"$1,967.10"
run swiftly tech,N,collections(run_swiftly_tech)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),97,"$1,695.65"
shorts we made to much,N,product_customAttribute4(shorts)/parentCategory_displayName(made_much_shorts_we)/collections(to),,42,$24.65
size 2 leggings,N,sku_size(2_size)/product_inseam(2)/parentCategory_displayName(leggings),PatternReplaceFilter(2),84,$970.65
solar orange leggings,N,sku_colorCodeDesc(orange_solar)/sku_colorGroup(orange)/parentCategory_displayName(leggings),,52,$426.55
swiftly tech we made too much,N,collections(swiftly_tech)/parentCategory_displayName(made_much_too_we),,84,$208.90
swiftly tech 2,N,collections(swiftly_tech)/sku_size(2)/product_inseam(2),PatternReplaceFilter(2),73,$710.30
all sport bra,N,collections(all)/sku_colorCodeDesc(sport)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),37,$101.15
dress shirt men,N,product_customAttribute4(dress_shirt)/parentCategory_displayName(dress_shirt)/gender(men),EnglishMinimalStemFilter/PorterStemFilter(dress)/EnglishMinimalStemFilter(shirt),69,"$1,171.30"
short shirt,Y,product_topsLength_s(short)/parentCategory_displayName(shirt_short)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),64,$556.00
"2"" short",Y,"product_inseam(2"")/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),88,$64.00
short 7,Y,product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/sku_size(7)/product_inseam(7),EnglishMinimalStemFilter(short)/PatternReplaceFilter(7),62,$996.15
light purple shorts,N,sku_colorCodeDesc(light_purple)/sku_colorGroup(purple)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,69,$251.00
we made too much ebb to street tank,N,parentCategory_displayName(made_much_tank_too_we)/collections(ebb_street_to),,17,$49.00
lip gloss swiftly tech,N,sku_colorCodeDesc(gloss_lip)/collections(swiftly_tech),,63,$136.00
love too,N,collections(love)/sku_colorCodeDesc(love)/parentCategory_displayName(too),,53,$414.95
lululemon we made too much,N,collections(lululemon)/parentCategory_displayName(lululemon_made_much_too_we)/sku_colorCodeDesc(lululemon),,35,$34.00
men shorts 7,Y,gender(men)/product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),42,$573.80
sunny coral tank,N,sku_colorCodeDesc(coral_sunny)/parentCategory_displayName(tank),,53,$272.00
ready to rulu half zip pullover,N,collections(ready_rulu_to)/sku_colorCodeDesc(rulu)/product_customAttribute4(half_pullover_zip),,16,$81.00
blissful 2,N,sku_colorCodeDesc(blissful)/sku_size(2)/product_inseam(2),PatternReplaceFilter(2),160,"$4,304.00"
31 leggings,Y,sku_size(31)/product_inseam(31)/parentCategory_displayName(leggings),PatternReplaceFilter(31),69,"$1,347.90"
t-shirt pack,N,parentCategory_displayName(t-shirt)/product_customAttribute4(pack),EnglishMinimalStemFilter(t-shirt)/PorterStemFilter(pack),66,$648.65
shorts 7,Y,product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(7)/product_inseam(7),PatternReplaceFilter(7),62,"$1,444.25"
short tights,N,product_topsLength_s(short)/parentCategory_displayName(short_tights)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),61,$108.00
lip gloss long sleeve,N,sku_colorCodeDesc(gloss_lip)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,52,$444.00
tight men,Y,collections(tight)/parentCategory_displayName(tight)/gender(men),EnglishMinimalStemFilter(tight),52,$366.00
pace breaker short lined,N,collections(breaker_pace)/sku_colorCodeDesc(lined_pace_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),76,"$1,768.30"
sage green belt bag,N,sku_colorCodeDesc(green_sage)/sku_colorGroup(green)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),59,$76.00
swim shorts women,N,product_activity(swim)/parentCategory_displayName(shorts_swim_women)/product_customAttribute4(shorts)/gender(women),,55,$0.00
women white shirt,Y,gender(women)/parentCategory_displayName(shirt_women)/sku_colorGroup(white)/sku_colorCodeDesc(white)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),56,$839.40
belt bag black gold,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorGroup(black)/sku_colorCodeDesc(black_gold),EnglishMinimalStemFilter(bag),62,$608.00
black and white stripe,N,sku_colorGroup(black_white)/sku_colorCodeDesc(black_stripe_white)/product_customAttribute4(and),,68,$352.00
black marble leggings,N,sku_colorGroup(black)/sku_colorCodeDesc(black_marble)/parentCategory_displayName(leggings),,51,$786.00
full zip cropped scuba,N,sku_size(full)/product_customAttribute4(zip)/product_topsLength_s(cropped)/collections(scuba),,84,$590.00
black lulu,N,sku_colorGroup(black)/sku_colorCodeDesc(black_lulu),,93,$980.00
shorts high,N,product_customAttribute4(high_shorts)/parentCategory_displayName(shorts),,66,$478.00
long line cloud,N,product_topsLength_s(long)/parentCategory_displayName(long)/sku_colorCodeDesc(line)/collections(cloud),PorterStemFilter(line),51,$323.00
long sleeve tennis dress,N,product_topsLength_s(long)/parentCategory_displayName(dress_long_sleeve)/product_activity(tennis)/product_customAttribute4(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),82,"$1,235.40"
lulu energy bra,N,sku_colorCodeDesc(lulu)/collections(energy)/parentCategory_displayName(bra)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),85,"$1,349.15"
swimsuit men,N,product_customAttribute4(swimsuit)/parentCategory_displayName(swimsuit)/gender(men),EnglishMinimalStemFilter(swimsuit),54,"$1,103.45"
medium forest tank,N,sku_colorCodeDesc(forest_medium)/parentCategory_displayName(tank),,50,$303.00
red lulu shorts,N,sku_colorGroup(red)/sku_colorCodeDesc(lulu_red)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,56,$136.00
sports bra tank top,N,parentCategory_displayName(bra_sports_tank_top)/product_customAttribute4(bra_top),EnglishMinimalStemFilter(bra_top),44,$384.00
warm up jacket,N,sku_colorCodeDesc(warm)/collections(up)/product_customAttribute4(jacket_up)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),51,$433.00
we made to much skirts,N,parentCategory_displayName(made_much_skirts_we)/collections(to)/product_customAttribute4(skirts),,44,$39.00
wunder train dark oxide,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(dark_oxide),PorterStemFilter(train),35,$228.00
wunder train long line,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(train)/product_topsLength_s(long)/parentCategory_displayName(long)/sku_colorCodeDesc(line),PorterStemFilter(line_train),83,$569.35
cheetah camo antique white,N,sku_colorCodeDesc(antique_camo_cheetah_white)/sku_colorGroup(white),,52,$239.00
velvet pants,N,sku_colorCodeDesc(velvet)/product_customAttribute4(pants)/parentCategory_displayName(pants),,152,"$3,686.90"
grey tie dye,N,sku_colorGroup(grey)/sku_colorCodeDesc(dye_grey_tie),,53,$69.00
hot pink short,Y,sku_colorCodeDesc(hot_pink_short)/collections(hot)/sku_colorGroup(pink)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),57,$321.00
sweet pants,N,sku_colorCodeDesc(sweet)/product_customAttribute4(pants)/parentCategory_displayName(pants),,60,$827.00
mint leggings,N,sku_colorCodeDesc(mint)/parentCategory_displayName(leggings),,58,$168.15
run leggings,Y,collections(run)/product_activity(run)/product_customAttribute4(run)/parentCategory_displayName(leggings),PorterStemFilter(run),53,$394.00
sonic pink dance studio,N,sku_colorCodeDesc(pink_sonic)/sku_colorGroup(pink)/collections(dance_studio)/product_activity(dance),,62,$354.00
swiftly tech long sleeve cropped,N,collections(swiftly_tech)/product_topsLength_s(cropped_long)/parentCategory_displayName(long_sleeve),,95,$818.30
align ultra high,N,collections(align)/sku_colorCodeDesc(ultra)/product_customAttribute4(high),,87,$539.30
full zip cropped,N,sku_size(full)/product_customAttribute4(zip)/product_topsLength_s(cropped),,90,"$2,197.60"
lululemon align 28,N,collections(align_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),87,"$2,116.80"
men full zip,N,gender(men)/sku_size(full)/product_customAttribute4(zip),,68,$897.65
visor hat,Y,product_customAttribute4(hat_visor)/parentCategory_displayName(hat),EnglishMinimalStemFilter(hat_visor),46,$199.00
powder blue swiftly tech,N,sku_colorCodeDesc(blue_powder)/sku_colorGroup(blue)/collections(swiftly_tech),,59,$115.00
size zero shorts,N,sku_size(size)/collections(zero)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PorterStemFilter(zero),36,$0.00
white align pants,N,sku_colorGroup(white)/sku_colorCodeDesc(white)/collections(align)/product_customAttribute4(pants)/parentCategory_displayName(pants),,46,$413.00
align c d,N,collections(align)/sku_size(c_d),,66,$364.15
align tank high,N,collections(align)/parentCategory_displayName(tank)/product_customAttribute4(high),,70,$314.20
define tank top,N,collections(define)/parentCategory_displayName(tank_top)/product_customAttribute4(top),EnglishMinimalStemFilter(top),50,$282.00
wrap skirt,N,parentCategory_displayName(skirt_wrap)/product_customAttribute4(skirt),EnglishMinimalStemFilter(skirt_wrap),97,"$2,928.75"
hotty hot size 0,N,collections(hot_hotty)/sku_colorCodeDesc(hot)/sku_size(0_size),,68,$57.80
all power,N,collections(all_power)/sku_colorCodeDesc(power),,66,$422.00
trail run,Y,product_customAttribute4(run_trail)/collections(run)/product_activity(run),PorterStemFilter(run),60,$370.00
tight 25,Y,collections(tight)/parentCategory_displayName(tight)/sku_size(25)/product_inseam(25),EnglishMinimalStemFilter(tight)/PatternReplaceFilter(25),57,"$1,268.00"
camo sweatpants,N,sku_colorCodeDesc(camo)/parentCategory_displayName(sweatpants),,56,$195.15
men button up,N,gender(men)/parentCategory_displayName(button)/collections(up)/product_customAttribute4(up),,52,$786.00
red shirt women,Y,sku_colorGroup(red)/sku_colorCodeDesc(red)/product_customAttribute4(shirt)/parentCategory_displayName(shirt_women)/gender(women),EnglishMinimalStemFilter(shirt),46,$407.30
surge warm tight,N,collections(surge_tight)/sku_colorCodeDesc(warm)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),89,"$2,501.80"
swiftly tech s,N,collections(swiftly_tech)/sku_size(s),,90,"$1,557.20"
women shorts 5,Y,gender(women)/parentCategory_displayName(shorts_women)/product_customAttribute4(5_shorts)/collections(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),43,$378.80
all belt bags,N,collections(all)/product_customAttribute4(bags_belt)/parentCategory_displayName(bags),,48,$182.00
define jacket l,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_size(l),EnglishMinimalStemFilter(jacket),132,"$4,790.80"
we made too much sports bras,N,parentCategory_displayName(bras_made_much_sports_too_we)/product_customAttribute4(bras),,57,$131.00
grey short sleeve shirt,Y,sku_colorGroup(grey)/sku_colorCodeDesc(grey_short)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),63,$340.00
oversized full,N,collections(oversized)/sku_size(full),,80,"$1,479.20"
swiftly dress,N,collections(swiftly)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),76,"$1,119.15"
lululemon swiftly,N,collections(lululemon_swiftly)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon),,72,$234.00
